School,ID,CoNo,StNo,Long,Lat,Low,High,Students
CARLOS PACHECO,2.50843E+11,5,25,-70.9404,41.6566,-1,5,384
CARLTON,2.51038E+11,9,25,-70.8904,42.5318,0,5,205
CARLTON M. VIVEIROS ELEMENTARY SCHOOL,2.50483E+11,5,25,-71.1767,41.6865,0,5,762
CARTER DEVELOPMENTAL CENTER,2.50279E+11,25,25,-71.0837,42.3405,7,12,24
CARVER ELEMENTARY SCHOOL,2.50336E+11,23,25,-70.7748,41.8909,-1,5,838
CARVER MIDDLE/HIGH SCHOOL,2.50336E+11,23,25,-70.754,41.8932,6,12,870
CASIMIR PULASKI,2.50843E+11,5,25,-70.9441,41.728,-1,5,664
CEDAR ELEMENTARY,2.50579E+11,23,25,-70.8673,42.1324,-1,4,406
CENTER,2.50699E+11,13,25,-72.5815,42.0482,-1,5,373
CENTER,2.50747E+11,23,25,-70.8139,41.6605,-1,3,283
CENTER,2.50633E+11,17,25,-71.5166,42.2297,0,1,417
CENTER,2.50936E+11,9,25,-70.9463,42.5302,0,5,390
CENTER ELEMENTARY,2.50579E+11,23,25,-70.8421,42.119,-1,2,351
CENTER ELEMENTARY SCHOOL,2.50165E+11,23,25,-70.9442,42.1048,-1,0,179
CENTER ELEMENTARY SCHOOL,2.50351E+11,17,25,-71.3437,42.6003,0,4,438
CENTER FOR TECHNICAL EDUCATION INNOVATION,2.50678E+11,27,25,-71.778,42.5329,9,12,654
CENTER SCHOOL,2.50831E+11,17,25,-71.5082,42.4375,-1,5,596
CENTER SCHOOL,2.50459E+11,15,25,-72.6721,42.2685,0,4,220
CENTER SCHOOL,2.50462E+11,5,25,-71.0991,42.0343,-1,2,312
CENTERVILLE ELEMENTARY,2.50264E+11,9,25,-70.8417,42.579,0,5,371
CENTERVILLE ELEMENTARY,2.50231E+11,1,25,-70.353,41.647,-1,3,390
CENTRAL,2.50444E+11,23,25,-70.9572,42.0299,-1,2,571
CENTRAL,2.51122E+11,17,25,-71.0965,42.4849,0,5,309
CENTRAL AREA,2.51115E+11,27,25,-71.6042,42.2931,-2,-2,524.5984339
CENTRAL MIDDLE,2.50987E+11,21,25,-71.0114,42.2615,6,8,618
CENTRAL TREE MIDDLE,2.51188E+11,27,25,-71.9547,42.3699,6,8,407
CHACE STREET,2.51086E+11,5,25,-71.1476,41.7635,-1,5,365
CHANDLER ELEMENTARY,2.50441E+11,23,25,-70.7366,42.0354,-1,2,666
CHANDLER ELEMENTARY COMMUNITY,2.51323E+11,27,25,-71.8107,42.2604,0,6,414
CHANDLER MAGNET,2.51323E+11,27,25,-71.8428,42.2719,-1,6,431
CHAPIN STREET ELEMENTARY SCHOOL,2.50705E+11,13,25,-72.488,42.1769,2,3,374
CHARLES A BERNAZZANI ELEMENTARY,2.50987E+11,21,25,-71.0225,42.2557,0,5,349
CHARLES C CASHMAN ELEMENTARY,2.50186E+11,9,25,-70.9493,42.8566,-1,4,533
CHARLES D HARRINGTON,2.50351E+11,17,25,-71.3793,42.6227,0,4,459
CHARLES E BROWN MIDDLE,2.50861E+11,17,25,-71.1903,42.3088,6,8,743
CHARLES E RODERICK,2.51329E+11,21,25,-71.3264,42.061,4,6,498
CHARLES H TAYLOR,2.50279E+11,25,25,-71.0775,42.2778,-1,5,524
CHARLES J PRESCOTT,2.50906E+11,21,25,-71.1814,42.1755,0,5,235
CHARLES JAWOREK SCHOOL,2.50732E+11,17,25,-71.5333,42.3664,0,4,690
CHARLES MCCANN VOCATIONAL TECHNICAL,2.50895E+11,3,25,-73.101,42.6641,9,12,505
CHARLES S ASHLEY,2.50843E+11,5,25,-70.9336,41.6764,0,5,360
CHARLES S PIERCE MIDDLE,2.50798E+11,21,25,-71.0828,42.2581,6,8,911
CHARLES SUMNER,2.50279E+11,25,25,-71.1269,42.2864,-1,5,544
CHARLES TAYLOR ELEMENTARY,2.50495E+11,21,25,-71.2542,42.0485,0,4,289
CHARLES W MOREY,2.50702E+11,17,25,-71.3311,42.6325,-1,4,545
CHARLESTOWN HIGH,2.50279E+11,25,25,-71.0609,42.3803,9,12,935
CHARLOTTE A DUNNING,2.50498E+11,17,25,-71.4303,42.3213,0,5,487
CHARLOTTE M MURKLAND ELEMENTARY,2.50702E+11,17,25,-71.321,42.6466,-1,4,519
CHARLTON ELEMENTARY,2.50436E+11,27,25,-71.9716,42.132,-1,1,378
CHARLTON MIDDLE SCHOOL,2.50436E+11,27,25,-71.9026,42.1192,5,8,767
