time,Check Vaccine Status,Terminal,Wait Until Exposure
1606780800000-1606867199999,0.00226292,0.0001,0.99763708
1606867200000-1606953599999,0.002437788,0.0001,0.997462212
1606953600000-1607039999999,0.00268442,0.0001,0.99721558
1607040000000-1607126399999,0.002795236,0.0001,0.997104764
1607126400000-1607212799999,0.002592984,0.0001,0.997307016
1607212800000-1607299199999,0.002177768,0.0001,0.997722232
1607299200000-1607385599999,0.0023358159999999997,0.0001,0.997564184
1607385600000-1607471999999,0.002696808,0.0001,0.997203192
1607472000000-1607558399999,0.002675156,0.0001,0.997224844
1607558400000-1607644799999,0.0027806239999999998,0.0001,0.997119376
1607644800000-1607731199999,0.0028846880000000003,0.0001,0.997015312
1607731200000-1607817599999,0.0026168479999999997,0.0001,0.997283152
1607817600000-1607903999999,0.002258484,0.0001,0.997641516
1607904000000-1607990399999,0.002334696,0.0001,0.997565304
1607990400000-1608076799999,0.0025110560000000002,0.0001,0.997388944
1608076800000-1608163199999,0.002963448,0.0001,0.996936552
1608163200000-1608249599999,0.002882656,0.0001,0.997017344
1608249600000-1608335999999,0.00302566,0.0001,0.99687434
1608336000000-1608422399999,0.002308132,0.0001,0.997591868
1608422400000-1608508799999,0.002258884,0.0001,0.997641116
1608508800000-1608595199999,0.0023874319999999997,0.0001,0.997512568
1608595200000-1608681599999,0.002380464,0.0001,0.997519536
1608681600000-1608767999999,0.00275896,0.0001,0.99714104
1608768000000-1608854399999,0.002332584,0.0001,0.997567416
1608854400000-1608940799999,0.001176036,0.0001,0.998723964
1608940800000-1609027199999,0.002720404,0.0001,0.997179596
1609027200000-1609113599999,0.001872488,0.0001,0.998027512
1609113600000-1609199999999,0.002092448,0.0001,0.997807552
1609200000000-1609286399999,0.002408288,0.0001,0.997491712
1609286400000-1609372799999,0.002807816,0.0001,0.997092184
1609372800000-1609459199999,0.0028305599999999998,0.0001,0.99706944
1609459200000-1609545599999,0.001849252,0.0001,0.998050748
1609545600000-1609631999999,0.003610072,0.0001,0.996289928
1609632000000-1609718399999,0.002509384,0.0001,0.997390616
1609718400000-1609804799999,0.0022108600000000003,0.0001,0.99768914
1609804800000-1609891199999,0.0028240599999999998,0.0001,0.99707594
1609891200000-1609977599999,0.00307174,0.0001,0.99682826
1609977600000-1610063999999,0.003343964,0.0001,0.996556036
1610064000000-1610150399999,0.003547536,0.0001,0.996352464
1610150400000-1610236799999,0.00313554,0.0001,0.99676446
1610236800000-1610323199999,0.002564196,0.0001,0.997335804
1610323200000-1610409599999,0.0025794439999999997,0.0001,0.997320556
1610409600000-1610495999999,0.002726784,0.0001,0.997173216
1610496000000-1610582399999,0.002767084,0.0001,0.997132916
1610582400000-1610668799999,0.002832748,0.0001,0.997067252
1610668800000-1610755199999,0.002918052,0.0001,0.996981948
1610755200000-1610841599999,0.0024253400000000002,0.0001,0.99747466
1610841600000-1610927999999,0.00213682,0.0001,0.99776318
1610928000000-1611014399999,0.00172534,0.0001,0.99817466
1611014400000-1611100799999,0.002117248,0.0001,0.997782752
1611100800000-1611187199999,0.002201896,0.0001,0.997698104
1611187200000-1611273599999,0.002329388,0.0001,0.997570612
1611273600000-1611359999999,0.002291972,0.0001,0.997608028
1611360000000-1611446399999,0.002051516,0.0001,0.997848484
1611446400000-1611532799999,0.001576392,0.0001,0.998323608
1611532800000-1611619199999,0.001822376,0.0001,0.998077624
1611619200000-1611705599999,0.0017737360000000001,0.0001,0.998126264
1611705600000-1611791999999,0.0018498520000000001,0.0001,0.998050148
1611792000000-1611878399999,0.002028192,0.0001,0.997871808
1611878400000-1611964799999,0.002001976,0.0001,0.997898024
1611964800000-1612051199999,0.001711824,0.0001,0.998188176
1612051200000-1612137599999,0.001347516,0.0001,0.998552484
1612137600000-1612223999999,0.0016214480000000002,0.0001,0.998278552
1612224000000-1612310399999,0.0013854359999999999,0.0001,0.998514564
1612310400000-1612396799999,0.0014622,0.0001,0.9984378
1612396800000-1612483199999,0.00148982,0.0001,0.99841018
1612483200000-1612569599999,0.001615092,0.0001,0.998284908
1612569600000-1612655999999,0.0012518879999999998,0.0001,0.998648112
1612656000000-1612742399999,0.0010780999999999998,0.0001,0.9988219
1612742400000-1612828799999,0.001086704,0.0001,0.998813296
1612828800000-1612915199999,0.001144532,0.0001,0.998755468
1612915200000-1613001599999,0.0011446759999999999,0.0001,0.998755324
1613001600000-1613087999999,0.00127074,0.0001,0.99862926
1613088000000-1613174399999,0.0011973279999999999,0.0001,0.998702672
1613174400000-1613260799999,0.0010479439999999999,0.0001,0.998852056
1613260800000-1613347199999,0.00078282,0.0001,0.99911718
1613347200000-1613433599999,0.000651952,0.0001,0.999248048
1613433600000-1613519999999,0.000750908,0.0001,0.999149092
1613520000000-1613606399999,0.000842892,0.0001,0.999057108
1613606400000-1613692799999,0.0008398279999999999,0.0001,0.999060172
1613692800000-1613779199999,0.0009525800000000001,0.0001,0.99894742
1613779200000-1613865599999,0.000861384,0.0001,0.999038616
1613865600000-1613951999999,0.00068678,0.0001,0.99921322
1613952000000-1614038399999,0.0006748279999999999,0.0001,0.999225172
1614038400000-1614124799999,0.000868208,0.0001,0.999031792
1614124800000-1614211199999,0.000898116,0.0001,0.999001884
1614211200000-1614297599999,0.000931216,0.0001,0.998968784
1614297600000-1614383999999,0.000929356,0.0001,0.998970644
1614384000000-1614470399999,0.0007764880000000001,0.0001,0.999123512
1614470400000-1614556799999,0.00061784,0.0001,0.99928216
1614556800000-1614643199999,0.000698052,0.0001,0.999201948
1614643200000-1614729599999,0.000686612,0.0001,0.999213388
1614729600000-1614815999999,0.0008067279999999999,0.0001,0.999093272
1614816000000-1614902399999,0.000817868,0.0001,0.999082132
1614902400000-1614988799999,0.000798028,0.0001,0.999101972
1614988800000-1615075199999,0.00070006,0.0001,0.99919994
1615075200000-1615161599999,0.000493496,0.0001,0.999406504
1615161600000-1615247999999,0.000539416,0.0001,0.999360584
1615248000000-1615334399999,0.000693016,0.0001,0.999206984
1615334400000-1615420799999,0.000695552,0.0001,0.999204448
1615420800000-1615507199999,0.00075052,0.0001,0.99914948
1615507200000-1615593599999,0.000739072,0.0001,0.999160928
1615593600000-1615679999999,0.000637184,0.0001,0.999262816
1615680000000-1615766399999,0.000459864,0.0001,0.999440136
1615766400000-1615852799999,0.000679392,0.0001,0.999220608
1615852800000-1615939199999,0.0006489,0.0001,0.9992511
1615939200000-1616025599999,0.000712688,0.0001,0.999187312
1616025600000-1616111999999,0.000725616,0.0001,0.999174384
1616112000000-1616198399999,0.000741088,0.0001,0.999158912
1616198400000-1616284799999,0.000667112,0.0001,0.999232888
1616284800000-1616371199999,0.000406444,0.0001,0.999493556
1616371200000-1616457599999,0.000617996,0.0001,0.999282004
1616457600000-1616543999999,0.000645292,0.0001,0.999254708
1616544000000-1616630399999,0.0010432439999999998,0.0001,0.998856756
1616630400000-1616716799999,0.000811584,0.0001,0.999088416
1616716800000-1616803199999,0.000929692,0.0001,0.998970308
1616803200000-1616889599999,0.000755124,0.0001,0.999144876
1616889600000-1616975999999,0.000519256,0.0001,0.999380744
1616976000000-1617062399999,0.00083232,0.0001,0.99906768
1617062400000-1617148799999,0.000738076,0.0001,0.999161924
1617148800000-1617235199999,0.000802188,0.0001,0.999097812
1617235200000-1617321599999,0.000950908,0.0001,0.998949092
1617321600000-1617407999999,0.000839696,0.0001,0.999060304
1617408000000-1617494399999,0.000760084,0.0001,0.999139916
1617494400000-1617580799999,0.00042222,0.0001,0.99947778
1617580800000-1617667199999,0.0009296319999999999,0.0001,0.998970368
1617667200000-1617753599999,0.0007289919999999999,0.0001,0.999171008
1617753600000-1617839999999,0.000901504,0.0001,0.998998496
1617840000000-1617926399999,0.000959824,0.0001,0.998940176
1617926400000-1618012799999,0.0009937680000000001,0.0001,0.998906232
1618012800000-1618099199999,0.0008012480000000001,0.0001,0.999098752
1618099200000-1618185599999,0.0005588079999999999,0.0001,0.999341192
1618185600000-1618271999999,0.00084204,0.0001,0.99905796
1618272000000-1618358399999,0.000936684,0.0001,0.998963316
1618358400000-1618444799999,0.000905972,0.0001,0.998994028
1618444800000-1618531199999,0.000892876,0.0001,0.999007124
1618531200000-1618617599999,0.000962,0.0001,0.998938
1618617600000-1618703999999,0.000631176,0.0001,0.999268824
1618704000000-1618790399999,0.000506088,0.0001,0.999393912
1618790400000-1618876799999,0.000818288,0.0001,0.999081712
1618876800000-1618963199999,0.000732308,0.0001,0.999167692
1618963200000-1619049599999,0.0007552440000000001,0.0001,0.999144756
1619049600000-1619135999999,0.000808316,0.0001,0.999091684
1619136000000-1619222399999,0.00075004,0.0001,0.99914996
1619222400000-1619308799999,0.000642724,0.0001,0.999257276
1619308800000-1619395199999,0.00038632,0.0001,0.99951368
1619395200000-1619481599999,0.000571388,0.0001,0.999328612
1619481600000-1619567999999,0.0006108,0.0001,0.9992892
1619568000000-1619654399999,0.000662692,0.0001,0.999237308
1619654400000-1619740799999,0.000699892,0.0001,0.999200108
1619740800000-1619827199999,0.000695792,0.0001,0.999204208
1619827200000-1619913599999,0.00054558,0.0001,0.99935442
1619913600000-1619999999999,0.000353124,0.0001,0.999546876
